period,uf,filename,source_url,accessed_at,last_modified,etag,remote_size_bytes,local_relative_path,local_size_bytes,sha256,status,error_class
202312,PB,pda-024-icb-PB-2023_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202312/pda-024-icb-PB-2023_12.zip,2026-08-24T11:47:27.342196+00:00,"Wed, 05 Aug 2026 12:49:52 GMT","""3fd466-6584c3525e505""",4183142,202312/pda-024-icb-PB-2023_12.zip,4183142,fe82d1bc8db9e602746d40cf206d353ce4f7e2235bfbcc935e2e53e78cab8d4b,complete,
202312,PE,pda-024-icb-PE-2023_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202312/pda-024-icb-PE-2023_12.zip,2026-08-24T11:48:03.906853+00:00,"Wed, 05 Aug 2026 12:48:40 GMT","""b05d75-6584c30d61292""",11558261,202312/pda-024-icb-PE-2023_12.zip,11558261,33919223585fda424e40f6ec38434c77d0df29b2f39d1d11a74d68ec908a5769,complete,
202312,PI,pda-024-icb-PI-2023_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202312/pda-024-icb-PI-2023_12.zip,2026-08-24T11:48:42.438084+00:00,"Wed, 05 Aug 2026 12:49:53 GMT","""276c89-6584c352ff346""",2583689,202312/pda-024-icb-PI-2023_12.zip,2583689,cde3f46d2b2de1cebeb4ee93f58ccea7d3d00e2e99c8cf5bd25bfd0228dbd69f,complete,
202312,PR,pda-024-icb-PR-2023_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202312/pda-024-icb-PR-2023_12.zip,2026-08-24T11:49:00.421238+00:00,"Wed, 05 Aug 2026 12:48:46 GMT","""1979200-6584c313935db""",26710528,202312/pda-024-icb-PR-2023_12.zip,26710528,1fdbec4b2faced22b0598dec0926e48d29a3932819accc16176d1039486fd132,complete,
202312,RJ,pda-024-icb-RJ-2023_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202312/pda-024-icb-RJ-2023_12.zip,2026-08-24T11:49:53.724451+00:00,"Wed, 05 Aug 2026 12:48:54 GMT","""1d1d259-6584c31ad5cad""",30528089,202312/pda-024-icb-RJ-2023_12.zip,30528089,09391e450e48ac7212140bc49ae9c11a5e474db8c889aee4671509677540a5c2,complete,
202312,RN,pda-024-icb-RN-2023_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202312/pda-024-icb-RN-2023_12.zip,2026-08-24T11:50:41.670358+00:00,"Wed, 05 Aug 2026 12:49:54 GMT","""4c8792-6584c35428929""",5015442,202312/pda-024-icb-RN-2023_12.zip,5015442,91389ad0c6595a12beaab8984709f77c81653d7a7bb8cdbfe4186adeb826502f,complete,
202312,RO,pda-024-icb-RO-2023_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202312/pda-024-icb-RO-2023_12.zip,2026-08-24T11:50:56.823977+00:00,"Wed, 05 Aug 2026 12:48:55 GMT","""1b5c8b-6584c31b83228""",1793163,202312/pda-024-icb-RO-2023_12.zip,1793163,5534a1d00273ca3eef2eb851fc4dc254e32caa9e1e4f6734c7c99cf52c35cc30,complete,
202312,RR,pda-024-icb-RR-2023_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202312/pda-024-icb-RR-2023_12.zip,2026-08-24T11:51:03.263928+00:00,"Wed, 05 Aug 2026 12:49:54 GMT","""3a42b-6584c3544a053""",238635,202312/pda-024-icb-RR-2023_12.zip,238635,2d26055dbe7e7998e85672ad67edcd8aafbf94be00205c5cbcbfe45174fdad6a,complete,
202312,RS,pda-024-icb-RS-2023_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202312/pda-024-icb-RS-2023_12.zip,2026-08-24T11:51:37.755516+00:00,"Wed, 05 Aug 2026 12:49:01 GMT","""16672be-6584c3213b062""",23491262,202312/pda-024-icb-RS-2023_12.zip,23491262,106ef3098571ac2bd7e1d08a846f931ea26bb61b8f9228f3517a1738bdf4808b,complete,
202312,SC,pda-024-icb-SC-2023_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202312/pda-024-icb-SC-2023_12.zip,2026-08-24T11:52:26.809644+00:00,"Wed, 05 Aug 2026 12:49:05 GMT","""10c2b6d-6584c3255610a""",17574765,202312/pda-024-icb-SC-2023_12.zip,17574765,6e304aac5c4f7c1ba1d60bcc00ccd465580642e4fd5855963ba94fc245c274fb,complete,
202312,SE,pda-024-icb-SE-2023_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202312/pda-024-icb-SE-2023_12.zip,2026-08-24T11:52:49.721221+00:00,"Wed, 05 Aug 2026 12:49:55 GMT","""295965-6584c354f3f1d""",2709861,202312/pda-024-icb-SE-2023_12.zip,2709861,1728131dfae34051a0caf9e7e06fd942671ae6506490334096ce9f6e059e8c16,complete,
202312,SP,pda-024-icb-SP-2023_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202312/pda-024-icb-SP-2023_12.zip,2026-08-24T11:53:33.831057+00:00,"Wed, 05 Aug 2026 12:49:37 GMT","""80da475-6584c3440817c""",135111797,202312/pda-024-icb-SP-2023_12.zip,135111797,402c29f9f0cae059e6d6214378d5609786f2f0513b004871ff07d4ff77a44053,complete,
202312,TO,pda-024-icb-TO-2023_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202312/pda-024-icb-TO-2023_12.zip,2026-08-24T11:55:27.238726+00:00,"Wed, 05 Aug 2026 12:49:56 GMT","""1d2796-6584c3558ef9f""",1910678,202312/pda-024-icb-TO-2023_12.zip,1910678,edc0977537e2d0235eb2b8c8115c98a306c432f3c204bd6c533ddf75abf5b0fa,complete,
202312,XX,pda-024-icb-XX-2023_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202312/pda-024-icb-XX-2023_12.zip,2026-08-24T11:55:35.861243+00:00,"Wed, 05 Aug 2026 12:49:37 GMT","""2b69c-6584c344261f5""",177820,202312/pda-024-icb-XX-2023_12.zip,177820,b29d91caecdb8fd6b28c5a5e7efeb51b47ebf7e730e0464275710e1acfb6de47,complete,
