source_dataset,cohort,competence_month,n_unique_aih,n_active_hospitals,n_active_provider_municipalities,source_artifact,source_sha256,year,adult_population,total_population,denominator_population,rate_per_100k,denominator_definition
monthly_observed_uptake,A,202303,1570,192.0,117.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202304,1390,188.0,113.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202305,1418,187.0,114.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202306,1560,199.0,119.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202307,1508,207.0,127.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202308,1614,204.0,122.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202309,1598,208.0,125.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202310,1615,216.0,129.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202311,1616,208.0,125.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202312,1594,220.0,130.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202401,1835,217.0,130.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202402,1833,231.0,136.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202403,1848,241.0,138.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202404,1812,232.0,140.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202405,1977,235.0,135.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202406,1978,241.0,140.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202407,2024,253.0,150.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202408,2134,260.0,156.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
