source_dataset,cohort,year,res_municipio,observed_treatment,self_sufficiency,n_destinations,destination_hhi,destination_diversity_entropy,main_destination,main_destination_share,cross_municipality_share,cross_state_share,adult_population,potential_coverage_120,potential_coverage_180,ivs,n_aih_display,source_artifact,source_sha256
suppressed_service_area,A,2023,130063,False,NA,0,NA,NA,NA,NA,NA,NA,12421.0,False,False,0.696,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130068,False,NA,0,NA,NA,NA,NA,NA,NA,15665.0,False,False,0.605,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130070,False,NA,0,NA,NA,NA,NA,NA,NA,25367.0,False,False,0.601,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130080,True,0.0,1,1.0,-0.0,130260.0,1.0,1.0,0.0,21716.0,False,False,0.626,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130083,False,NA,0,NA,NA,NA,NA,NA,NA,8987.0,False,False,0.614,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130090,False,NA,0,NA,NA,NA,NA,NA,NA,11924.0,False,False,0.62,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130100,False,NA,0,NA,NA,NA,NA,NA,NA,19103.0,False,False,0.659,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130110,True,0.0,2,0.5555555555555556,0.6365141682948128,130260.0,0.6666666666666666,1.0,0.3333333333333333,21506.0,False,False,0.543,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130115,True,0.0,1,1.0,-0.0,230440.0,1.0,1.0,1.0,13586.0,False,False,0.603,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130120,True,0.0,1,1.0,-0.0,130260.0,1.0,1.0,0.0,46558.0,False,False,0.564,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130130,True,0.0,1,1.0,-0.0,130260.0,1.0,1.0,0.0,15318.0,False,False,0.557,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130140,False,NA,0,NA,NA,NA,NA,NA,NA,21437.0,False,False,0.706,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130150,True,0.0,1,1.0,-0.0,130260.0,1.0,1.0,0.0,10928.0,False,False,0.667,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130160,False,NA,0,NA,NA,NA,NA,NA,NA,16801.0,False,False,0.726,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130165,False,NA,0,NA,NA,NA,NA,NA,NA,9030.0,False,False,0.555,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130170,True,0.0,1,1.0,-0.0,110020.0,1.0,1.0,1.0,40287.0,False,False,0.477,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130180,False,NA,0,NA,NA,NA,NA,NA,NA,14947.0,False,False,0.706,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130185,True,0.0,1,1.0,-0.0,130260.0,1.0,1.0,0.0,43776.0,True,True,0.481,6,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130190,True,0.0,1,1.0,-0.0,130260.0,1.0,1.0,0.0,73722.0,False,False,0.42,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130195,False,NA,0,NA,NA,NA,NA,NA,NA,6483.0,False,False,0.702,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
