source_dataset,node,weighted_betweenness_inverse_flow_cost,layer,cohort,year,source_artifact,source_sha256,in_strength_display
target_centrality,T:2077396,277279.5,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,349
target_centrality,T:2077531,0.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,9
target_centrality,T:2078015,205618.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,311
target_centrality,T:2079321,0.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,<5
target_centrality,T:2079798,50742.5,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,171
target_centrality,T:2080338,4.5,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,20
target_centrality,T:2080346,0.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,37
target_centrality,T:2081253,0.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,6
target_centrality,T:2081377,1413.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,<5
target_centrality,T:2081458,0.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,9
target_centrality,T:2081695,9204.5,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,34
target_centrality,T:2082187,56563.5,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,112
target_centrality,T:2082861,0.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,20
