route_status,travel_bin_lower_min,travel_bin_upper_min,travel_bin_label,route_source,cross_municipality,cross_state,weighted_n_aih_display,source_dataset,source_artifact,source_sha256
ROUTED,135.0,150.0,135-<150,prior_stage04_cache,True,True,13,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,135.0,150.0,135-<150,request,True,False,<5,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,150.0,165.0,150-<165,prior_stage04_cache,True,False,783,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,150.0,165.0,150-<165,prior_stage04_cache,True,True,<5,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,165.0,180.0,165-<180,prior_stage04_cache,True,False,471,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,165.0,180.0,165-<180,prior_stage04_cache,True,True,<5,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,165.0,180.0,165-<180,request,True,False,<5,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,165.0,180.0,165-<180,request,True,True,<5,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,180.0,NA,180+,prior_stage04_cache,True,False,4118,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,180.0,NA,180+,prior_stage04_cache,True,True,178,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,180.0,NA,180+,request,True,False,<5,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,180.0,NA,180+,request,True,True,<5,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
